n,tp,fp,tn,fn,fpr,fnr,ppv,npv,tpr_recall,tnr_spec,accuracy,balanced_accuracy,overall_error,selection_rate,threshold,group
2454.0,505.0,349.0,1139.0,461.0,0.23454301075268819,0.4772256728778468,0.5913348946135831,0.711875,0.5227743271221532,0.7654569892473118,0.6699266503667481,0.6441156581847325,0.33007334963325186,0.3480032599837001,5,White
,,,,,0.21392495582112797,-0.19737296377737334,0.03837991679396058,-0.06141507884362685,0.19737296377737334,-0.21392495582112792,-0.03166907460917234,-0.00827599602187723,0.0316690746091724,0.2402002032197631,5,Gap (Black - White)
7214.0,1709.0,927.0,3036.0,1542.0,0.23391370174110523,0.4743155952014765,0.6483308042488619,0.6631716906946264,0.5256844047985235,0.7660862982588947,0.6577488217355143,0.6458853515287091,0.3422511782644857,0.36540060992514556,6,Sample R
6150.0,1587.0,835.0,2448.0,1280.0,0.25434054218702407,0.4464597139867457,0.6552436003303055,0.6566523605150214,0.5535402860132543,0.7456594578129759,0.6560975609756098,0.6495998719131151,0.3439024390243902,0.3938211382113821,6,Sample C
3696.0,1193.0,616.0,1179.0,708.0,0.34317548746518106,0.37243556023145713,0.6594803758982863,0.6248012718600954,0.6275644397685429,0.6568245125348189,0.6417748917748918,0.6421944761516809,0.3582251082251082,0.48944805194805197,6,Black
2454.0,394.0,219.0,1269.0,572.0,0.14717741935483872,0.5921325051759835,0.6427406199021207,0.6892992938620315,0.4078674948240165,0.8528225806451613,0.6776691116544418,0.6303450377345889,0.3223308883455583,0.24979625101874492,6,White
,,,,,0.19599806811034234,-0.21969694494452635,0.016739755996165617,-0.0644980220019361,0.2196969449445264,-0.19599806811034237,-0.03589421987954999,0.011849438417091962,0.03589421987954994,0.23965180092930705,6,Gap (Black - White)
7214.0,1351.0,644.0,3319.0,1900.0,0.1625031541761292,0.584435558289757,0.6771929824561403,0.6359455834451044,0.415564441710243,0.8374968458238707,0.6473523703909065,0.6265306437670568,0.3526476296090934,0.276545605766565,7,Sample R
6150.0,1261.0,583.0,2700.0,1606.0,0.17758148035333537,0.5601674223927451,0.6838394793926247,0.6270320483046912,0.4398325776072549,0.8224185196466647,0.6440650406504065,0.6311255486269598,0.3559349593495935,0.29983739837398377,7,Sample C
3696.0,978.0,447.0,1348.0,923.0,0.249025069637883,0.4855339295107838,0.6863157894736842,0.5935711140466755,0.5144660704892162,0.7509749303621169,0.6293290043290043,0.6327205004256666,0.37067099567099565,0.38555194805194803,7,Black
