lambda,threshold,L_t_Sample_C,L_t_Sample_R,L_g_Black,L_g_White,L_tilde_t,is_primary_minimizer,is_sample_r_minimizer,is_robustness_minimizer
0.13,8,0.28088130081300816,0.2785916273911838,0.2830411255411256,0.2776283618581907,0.600421154692218,False,False,False
0.13,9,0.32405365853658535,0.31788189631272523,0.33670183982683977,0.3050040749796251,0.6938690164986234,False,False,False
0.13,10,0.3687463414634146,0.3579373440532298,0.39611742424242424,0.32752241238793806,0.7905493988171511,False,False,False
0.13,11,0.4055756097560976,0.392066814527308,0.4474756493506493,0.34246943765281174,0.87,False,False,False
0.14,1,0.07473495934959351,0.07690878846686998,0.06799242424242424,0.08488997555012226,0.14,True,True,True
0.14,2,0.08805853658536585,0.09165788744108679,0.0775378787878788,0.1039038304808476,0.17381511397618515,False,False,False
0.14,3,0.10861788617886178,0.11401164402550597,0.09484848484848485,0.1293561532192339,0.2211468939620994,False,False,False
0.14,4,0.13322601626016262,0.1384668699750485,0.12097402597402597,0.15167889160554196,0.27629125784699504,False,False,False
0.14,5,0.16512845528455283,0.16984197393956196,0.15428030303030305,0.18146699266503666,0.34707645191254355,False,False,False
0.14,6,0.198,0.2018159135015248,0.1880735930735931,0.21295028524857376,0.41956302993478467,False,False,False
0.14,7,0.23785040650406508,0.23900194067091768,0.2316991341991342,0.24711491442542785,0.5066053905072277,False,False,False
0.14,8,0.2783349593495935,0.27602994177987245,0.2806709956709957,0.2748166259168704,0.5947976793495278,False,False,False
0.14,9,0.32073821138211384,0.31461047962295535,0.3333603896103896,0.3017277913610432,0.6866602609058449,False,False,False
0.14,10,0.3646536585365853,0.35396174105905187,0.3917478354978355,0.32384678076609613,0.7817357132817154,False,False,False
0.14,11,0.4009138211382114,0.38756029941779874,0.44233225108225105,0.33853300733496333,0.86,False,False,False
0.15,1,0.08007317073170732,0.08240227335736068,0.07284902597402597,0.09095354523227384,0.15,True,True,True
0.15,2,0.09164227642276424,0.09515525367341282,0.08131764069264068,0.10719233903830482,0.1804255064165091,False,False,False
0.15,3,0.11097560975609756,0.11620460216246187,0.09756493506493508,0.13117359413202934,0.22535806903283884,False,False,False
0.15,4,0.13457723577235772,0.1396243415580815,0.122754329004329,0.15238386308068458,0.2785117729759834,False,False,False
0.15,5,0.16539024390243903,0.16993346271139448,0.1550189393939394,0.18101059494702526,0.3471279788354909,False,False,False
0.15,6,0.19727642276422763,0.20096340449126698,0.1878246753246753,0.21151181744091277,0.41764183821678746,False,False,False
0.15,7,0.2361869918699187,0.23726088161907402,0.2304112554112554,0.2448859005704971,0.5027795310868336,False,False,False
0.15,8,0.27578861788617887,0.27346825616856113,0.27830086580086577,0.2720048899755501,0.5891742040068374,False,False,False
0.15,9,0.31742276422764226,0.3113390629331855,0.3300189393939394,0.29845150774246126,0.6794515053130665,False,False,False
0.15,10,0.3605609756097561,0.3499861380648739,0.38737824675324667,0.3201711491442543,0.7729220277462796,False,False,False
0.15,11,0.39625203252032515,0.3830537843082894,0.4371888528138528,0.3345965770171149,0.85,False,False,False
0.16,1,0.08541138211382113,0.08789575824785141,0.07770562770562771,0.09701711491442544,0.16,True,True,True
0.16,2,0.0952260162601626,0.09865261990573886,0.08509740259740259,0.11048084759576202,0.18703589885683303,False,False,False
0.16,3,0.11333333333333333,0.1183975602994178,0.10028138528138528,0.1329910350448248,0.22956924410357826,False,False,False
0.16,4,0.13592845528455286,0.14078181314111451,0.12453463203463203,0.15308883455582722,0.28073228810497175,False,False,False
0.16,5,0.1656520325203252,0.17002495148322705,0.15575757575757576,0.18055419722901386,0.3471795057584383,False,False,False
0.16,6,0.19655284552845528,0.20011089548100913,0.18757575757575756,0.21007334963325183,0.41572064649879026,False,False,False
0.16,7,0.23452357723577236,0.2355198225672304,0.2291233766233766,0.24265688671556643,0.49895367166643956,False,False,False
0.16,8,0.2732422764227642,0.27090657055724976,0.2759307359307359,0.26919315403422983,0.583550728664147,False,False,False
0.16,9,0.31410731707317074,0.3080676462434156,0.3266774891774892,0.29517522412387937,0.672242749720288,False,False,False
0.16,10,0.3564682926829268,0.34601053507069585,0.38300865800865797,0.3164955175224124,0.7641083422108438,False,False,False
0.16,11,0.39159024390243896,0.3785472691987801,0.4320454545454545,0.33066014669926647,0.84,False,False,False
0.17,1,0.09074959349593496,0.09338924313834211,0.08256222943722945,0.10308068459657702,0.17,True,True,True
0.17,2,0.09880975609756099,0.10214998613806489,0.0888771645021645,0.11376935615321923,0.19364629129715702,False,False,False
0.17,3,0.1156910569105691,0.12059051843637372,0.1029978354978355,0.13480847595762022,0.2337804191743177,False,False,False
0.17,4,0.13727967479674796,0.1419392847241475,0.12631493506493507,0.15379380603096984,0.2829528032339601,False,False,False
0.17,5,0.16591382113821138,0.17011644025505962,0.15649621212121215,0.18009779951100244,0.34723103268138567,False,False,False
0.17,6,0.1958292682926829,0.19925838647075128,0.18732683982683984,0.20863488182559087,0.413799454780793,False,False,False
0.17,7,0.23286016260162604,0.23377876351538676,0.2278354978354978,0.2404278728606357,0.4951278122460454,False,False,False
0.17,8,0.27069593495934957,0.26834488494593844,0.27356060606060606,0.2663814180929095,0.5779272533214568,False,False,False
0.17,9,0.31079186991869917,0.3047962295536457,0.32333603896103896,0.29189894050529747,0.6650339941275094,False,False,False
0.17,10,0.3523756097560976,0.3420349320765179,0.3786390692640692,0.31281988590057047,0.755294656675408,False,False,False
0.17,11,0.3869284552845528,0.37404075408927084,0.42690205627705624,0.32672371638141806,0.83,False,False,False
0.18,1,0.09608780487804877,0.09888272802883281,0.08741883116883116,0.10914425427872859,0.18,True,True,True
0.18,2,0.10239349593495935,0.1056473523703909,0.0926569264069264,0.11705786471067645,0.20025668373748096,False,False,False
0.18,3,0.11804878048780487,0.12278347657332964,0.10571428571428572,0.13662591687041567,0.23799159424505711,False,False,False
0.18,4,0.1386308943089431,0.14309675630718047,0.12809523809523812,0.15449877750611246,0.28517331836294846,False,False,False
0.18,5,0.16617560975609758,0.17020792902689216,0.15723484848484848,0.17964140179299104,0.34728255960433313,False,False,False
0.18,6,0.19510569105691059,0.19840587746049348,0.1870779220779221,0.20719641401792993,0.41187826306279585,False,False,False
0.18,7,0.2311967479674797,0.23203770446354316,0.22654761904761905,0.238198859005705,0.49130195282565137,False,False,False
0.18,8,0.268149593495935,0.26578319933462713,0.2711904761904762,0.26356968215158927,0.5723037779787664,False,False,False
0.18,9,0.3074764227642277,0.3015248128638758,0.31999458874458875,0.2886226568867156,0.6578252385347311,False,False,False
0.18,10,0.3482829268292683,0.33805932908233993,0.3742694805194805,0.3091442542787286,0.7464809711399721,False,False,False
0.18,11,0.3822666666666667,0.3695342389797616,0.421758658008658,0.3227872860635697,0.8200000000000001,False,False,False
0.19,1,0.1014260162601626,0.10437621291932354,0.0922754329004329,0.11520782396088021,0.19,True,True,True
0.19,2,0.10597723577235772,0.10914471860271693,0.09643668831168833,0.12034637326813367,0.2068670761778049,False,False,False
0.19,3,0.12040650406504065,0.12497643471028556,0.10843073593073593,0.1384433577832111,0.24220276931579657,False,False,False
0.19,4,0.13998211382113823,0.1442542278902135,0.12987554112554112,0.1552037489812551,0.28739383349193687,False,False,False
0.19,5,0.16643739837398375,0.1702994177987247,0.15797348484848486,0.17918500407497964,0.3473340865272805,False,False,False
0.19,6,0.19438211382113826,0.19755336845023566,0.18682900432900432,0.20575794621026897,0.40995707134479864,False,False,False
0.19,7,0.22953333333333334,0.23029664541169945,0.22525974025974024,0.23596984515077427,0.4874760934052572,False,False,False
0.19,8,0.26560325203252033,0.2632215137233158,0.26882034632034635,0.26075794621026893,0.5666803026360762,False,False,False
0.19,9,0.3041609756097561,0.2982533961741059,0.3166531385281386,0.28534637326813367,0.6506164829419526,False,False,False
0.19,10,0.3441902439024391,0.33408372608816195,0.3698998917748918,0.3054686226568868,0.7376672856045364,False,False,False
0.19,11,0.3776048780487805,0.36502772387025234,0.4166152597402598,0.3188508557457213,0.81,False,False,False
0.2,1,0.10676422764227643,0.10986969780981426,0.09713203463203464,0.1212713936430318,0.2,True,True,True
0.2,2,0.10956097560975611,0.11264208483504297,0.10021645021645023,0.12363488182559089,0.21347746861812886,False,False,False
0.2,3,0.12276422764227642,0.1271693928472415,0.11114718614718615,0.14026079869600655,0.24641394438653597,False,False,False
0.2,4,0.14133333333333334,0.14541169947324648,0.13165584415584416,0.15590872045639773,0.2896143486209252,False,False,False
0.2,5,0.16669918699186992,0.17039090657055725,0.15871212121212122,0.17872860635696822,0.3473856134502279,False,False,False
0.2,6,0.19365853658536586,0.19670085943997787,0.1865800865800866,0.204319478402608,0.4080358796268014,False,False,False
0.2,7,0.22786991869918702,0.22855558635985582,0.2239718614718615,0.23374083129584353,0.4836502339848632,False,False,False
0.2,8,0.26305691056910574,0.26065982811200444,0.26645021645021644,0.2579462102689487,0.5610568272933859,False,False,False
0.2,9,0.30084552845528456,0.294981979484336,0.3133116883116883,0.28207008964955177,0.6434077273491742,False,False,False
0.2,10,0.3400975609756097,0.3301081230939839,0.36553030303030304,0.3017929910350448,0.7288536000691006,False,False,False
0.2,11,0.37294308943089427,0.360521208760743,0.41147186147186154,0.3149144254278729,0.8,False,False,False
0.21,1,0.11210243902439024,0.11536318270030496,0.10198863636363636,0.12733496332518335,0.21,True,True,True
0.21,2,0.11314471544715447,0.116139451067369,0.1039962121212121,0.1269233903830481,0.2200878610584528,False,False,False
0.21,3,0.1251219512195122,0.1293623509841974,0.11386363636363638,0.14207823960880198,0.2506251194572754,False,False,False
0.21,4,0.14268455284552845,0.14656917105627948,0.13343614718614719,0.15661369193154037,0.2918348637499135,False,False,False
0.21,5,0.1669609756097561,0.17048239534238982,0.15945075757575758,0.17827220863895682,0.34743714037317525,False,False,False
0.21,6,0.19293495934959348,0.19584835042972001,0.18633116883116885,0.20288101059494704,0.4061146879088042,False,False,False
0.21,7,0.22620650406504067,0.2268145273080122,0.2226839826839827,0.2315118174409128,0.4798243745644691,False,False,False
0.21,8,0.2605105691056911,0.25809814250069313,0.2640800865800866,0.25513447432762837,0.5554333519506955,False,False,False
0.21,9,0.29753008130081304,0.29171056279456614,0.3099702380952381,0.2787938060309698,0.6361989717563956,False,False,False
0.21,10,0.33600487804878054,0.326132520099806,0.36116071428571433,0.29811735941320294,0.7200399145336648,False,False,False
0.21,11,0.3682813008130082,0.3560146936512337,0.4063284632034632,0.31097799511002444,0.79,False,False,False
0.22,1,0.11744065040650406,0.12085666759079568,0.10684523809523809,0.13339853300733498,0.22,False,False,True
0.22,2,0.11672845528455285,0.11963681729969504,0.10777597402597404,0.1302118989405053,0.22669825349877676,True,True,False
0.22,3,0.12747967479674796,0.13155530912115332,0.11658008658008658,0.1438956805215974,0.2548362945280148,False,False,False
0.22,4,0.14403577235772358,0.14772664263931246,0.13521645021645023,0.15731866340668296,0.2940553788789019,False,False,False
0.22,5,0.1672227642276423,0.17057388411422233,0.16018939393939396,0.1778158109209454,0.34748866729612266,False,False,False
